Result for strategy abbas8
============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|     CFX/USDT |        41 |           0.60 |          24.75 |            24.766 |           2.45 |         3:04:00 |    26    11     4  63.4 |
|     ACH/USDT |        59 |           0.41 |          24.45 |            24.466 |           2.42 |         2:23:00 |    43     7     9  72.9 |
|     RSR/USDT |        50 |           0.49 |          24.35 |            24.370 |           2.41 |         2:41:00 |    37     6     7  74.0 |
|    ARPA/USDT |        25 |           0.96 |          24.03 |            24.053 |           2.38 |         2:27:00 |    17     6     2  68.0 |
|   ALPHA/USDT |        19 |           1.26 |          23.99 |            23.939 |           2.37 |         2:58:00 |    14     4     1  73.7 |
|     ACM/USDT |        47 |           0.50 |          23.69 |            23.651 |           2.34 |         2:04:00 |    35     6     6  74.5 |
|    BICO/USDT |        49 |           0.47 |          23.09 |            23.111 |           2.29 |         2:26:00 |    33     9     7  67.3 |
|     OXT/USDT |        23 |           1.00 |          23.08 |            23.105 |           2.29 |         2:44:00 |    17     4     2  73.9 |
|    RNDR/USDT |        93 |           0.25 |          22.99 |            23.013 |           2.28 |         1:56:00 |    69     8    16  74.2 |
|    ATOM/USDT |        12 |           1.88 |          22.51 |            22.509 |           2.23 |         1:52:00 |    11     1     0   100 |
|    ASTR/USDT |        46 |           0.47 |          21.58 |            21.597 |           2.14 |         2:23:00 |    31     9     6  67.4 |
|      OM/USDT |        34 |           0.63 |          21.47 |            21.474 |           2.13 |         2:41:00 |    24     6     4  70.6 |
|    CITY/USDT |        29 |           0.74 |          21.43 |            21.445 |           2.12 |         6:12:00 |    22     4     3  75.9 |
|   MATIC/USDT |        21 |           1.02 |          21.35 |            21.364 |           2.12 |         2:54:00 |    16     4     1  76.2 |
|     ETC/USDT |        27 |           0.79 |          21.29 |            21.293 |           2.11 |         4:19:00 |    15    11     1  55.6 |
|     QNT/USDT |        41 |           0.52 |          21.27 |            21.281 |           2.11 |         1:47:00 |    32     4     5  78.0 |
|    FIDA/USDT |        97 |           0.22 |          21.11 |            21.163 |           2.10 |         2:11:00 |    74     6    17  76.3 |
|    MINA/USDT |        25 |           0.84 |          21.02 |            21.019 |           2.08 |         2:55:00 |    19     3     3  76.0 |
|    BIFI/USDT |        43 |           0.49 |          20.90 |            20.912 |           2.07 |         1:52:00 |    30     7     6  69.8 |
|    IDEX/USDT |        71 |           0.29 |          20.24 |            20.263 |           2.01 |         1:30:00 |    51     8    12  71.8 |
|     OGN/USDT |        62 |           0.32 |          20.07 |            19.966 |           1.98 |         2:52:00 |    39    15     8  62.9 |
|     PHA/USDT |        68 |           0.29 |          19.64 |            19.661 |           1.95 |         3:45:00 |    51     5    12  75.0 |
|     KEY/USDT |        55 |           0.35 |          19.46 |            19.477 |           1.93 |         1:36:00 |    38     9     8  69.1 |
|     ACA/USDT |        62 |           0.31 |          19.38 |            19.399 |           1.92 |         1:52:00 |    46     6    10  74.2 |
|     FOR/USDT |        31 |           0.61 |          19.05 |            19.066 |           1.89 |         3:13:00 |    22     5     4  71.0 |
|     FIS/USDT |        46 |           0.41 |          19.01 |            18.973 |           1.88 |         2:12:00 |    35     4     7  76.1 |
|     WOO/USDT |        35 |           0.54 |          18.93 |            18.943 |           1.88 |         3:01:00 |    25     6     4  71.4 |
|     UMA/USDT |        47 |           0.40 |          18.80 |            18.923 |           1.87 |         1:15:00 |    38     0     9  80.9 |
|     LIT/USDT |        66 |           0.28 |          18.57 |            18.590 |           1.84 |         2:20:00 |    44    12    10  66.7 |
|     SFP/USDT |        35 |           0.52 |          18.22 |            18.160 |           1.80 |         3:20:00 |    25     5     5  71.4 |
|     ADX/USDT |        13 |           1.31 |          17.02 |            16.999 |           1.68 |         0:57:00 |    12     0     1  92.3 |
|     TVK/USDT |        44 |           0.36 |          15.82 |            15.829 |           1.57 |         2:47:00 |    28    10     6  63.6 |
|     XVS/USDT |        40 |           0.39 |          15.44 |            15.459 |           1.53 |         4:23:00 |    30     4     6  75.0 |
|     CKB/USDT |        16 |           0.96 |          15.35 |            15.367 |           1.52 |         1:28:00 |    13     1     2  81.2 |
|     ENS/USDT |        39 |           0.39 |          15.07 |            15.067 |           1.49 |         2:40:00 |    27     7     5  69.2 |
|     DIA/USDT |        45 |           0.33 |          14.77 |            14.773 |           1.46 |         3:43:00 |    34     4     7  75.6 |
|     UTK/USDT |        29 |           0.51 |          14.73 |            14.741 |           1.46 |         3:14:00 |    20     4     5  69.0 |
|     CHZ/USDT |        20 |           0.72 |          14.40 |            14.397 |           1.43 |         2:52:00 |    12     7     1  60.0 |
|     NKN/USDT |        28 |           0.51 |          14.38 |            14.377 |           1.42 |         2:47:00 |    19     5     4  67.9 |
|     BNX/USDT |        67 |           0.23 |          15.16 |            14.216 |           1.41 |         1:55:00 |    48     7    12  71.6 |
|     TRU/USDT |        42 |           0.33 |          13.83 |            13.819 |           1.37 |         5:23:00 |    28     8     6  66.7 |
|    MBOX/USDT |        27 |           0.50 |          13.57 |            13.556 |           1.34 |         2:09:00 |    18     6     3  66.7 |
|   STORJ/USDT |        26 |           0.52 |          13.59 |            13.516 |           1.34 |         3:41:00 |    16     7     3  61.5 |
|   VOXEL/USDT |        84 |           0.16 |          13.46 |            13.453 |           1.33 |         2:15:00 |    60     9    15  71.4 |
|     ZEC/USDT |         9 |           1.48 |          13.34 |            13.349 |           1.32 |         3:47:00 |     6     3     0   100 |
|    RUNE/USDT |        27 |           0.49 |          13.21 |            13.192 |           1.31 |         4:19:00 |    18     6     3  66.7 |
|     XMR/USDT |         4 |           3.27 |          13.07 |            13.071 |           1.29 |         2:02:00 |     3     1     0   100 |
|    IOST/USDT |        11 |           1.18 |          13.02 |            13.031 |           1.29 |         2:51:00 |     8     3     0   100 |
|     HFT/USDT |        24 |           0.53 |          12.78 |            12.790 |           1.27 |         0:49:00 |    20     0     4  83.3 |
|     YGG/USDT |        58 |           0.22 |          12.51 |            12.537 |           1.24 |         4:02:00 |    38    12     8  65.5 |
|     STG/USDT |        25 |           0.47 |          11.82 |            11.824 |           1.17 |         2:56:00 |    18     3     4  72.0 |
|     APE/USDT |        51 |           0.23 |          11.80 |            11.806 |           1.17 |         1:48:00 |    36     8     7  70.6 |
|    LINK/USDT |         6 |           1.95 |          11.71 |            11.715 |           1.16 |         0:39:00 |     6     0     0   100 |
|    GALA/USDT |        25 |           0.45 |          11.22 |            11.218 |           1.11 |         3:06:00 |    17     4     4  68.0 |
|    HOOK/USDT |        10 |           1.06 |          10.60 |            10.605 |           1.05 |         0:46:00 |     9     0     1  90.0 |
|     RLC/USDT |        28 |           0.38 |          10.60 |            10.602 |           1.05 |         1:55:00 |    21     3     4  75.0 |
|    AVAX/USDT |         6 |           1.77 |          10.61 |            10.599 |           1.05 |         1:21:00 |     5     1     0   100 |
|     JUV/USDT |        57 |           0.19 |          10.58 |            10.592 |           1.05 |         3:12:00 |    41     6    10  71.9 |
|      SC/USDT |        12 |           0.84 |          10.13 |            10.136 |           1.00 |         1:34:00 |     9     2     1  75.0 |
|     SLP/USDT |        68 |           0.14 |           9.84 |             9.848 |           0.98 |         1:46:00 |    49     8    11  72.1 |
|     ICP/USDT |        10 |           0.98 |           9.83 |             9.835 |           0.97 |         2:29:00 |     6     4     0   100 |
|     VET/USDT |         8 |           1.22 |           9.77 |             9.776 |           0.97 |         3:00:00 |     5     3     0   100 |
|     FIO/USDT |        38 |           0.25 |           9.65 |             9.651 |           0.96 |         3:06:00 |    27     5     6  71.1 |
|   MAGIC/USDT |         6 |           1.50 |           8.98 |             8.988 |           0.89 |         1:55:00 |     5     1     0   100 |
|      MC/USDT |        18 |           0.50 |           8.98 |             8.985 |           0.89 |         2:50:00 |    14     1     3  77.8 |
|   STEEM/USDT |        22 |           0.40 |           8.81 |             8.820 |           0.87 |         1:32:00 |    15     3     4  68.2 |
|     ILV/USDT |         4 |           2.19 |           8.78 |             8.783 |           0.87 |         1:04:00 |     4     0     0   100 |
|      QI/USDT |        86 |           0.10 |           8.68 |             8.694 |           0.86 |         1:53:00 |    60    11    15  69.8 |
