Result for strategy abbas8
============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|    PAXG/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     UNI/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     CTK/USDT |         1 |           0.00 |           0.00 |             0.000 |           0.00 |         5:24:00 |     0     1     0     0 |
|     ATA/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     GNO/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    USDP/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     ENS/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     PYR/USDT |         1 |           0.00 |           0.00 |             0.000 |           0.00 |         3:33:00 |     0     1     0     0 |
|     CVX/USDT |         2 |           0.00 |           0.00 |             0.000 |           0.00 |         3:28:00 |     0     2     0     0 |
|    WBTC/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|   AERGO/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|   WBETH/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|   FDUSD/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     REQ/USDT |         8 |          -0.01 |          -0.04 |            -0.043 |          -0.00 |         2:26:00 |     5     1     2  62.5 |
|   STEEM/USDT |        19 |          -0.01 |          -0.10 |            -0.099 |          -0.01 |         0:50:00 |    15     0     4  78.9 |
|     GAS/USDT |         5 |          -0.05 |          -0.25 |            -0.247 |          -0.02 |         3:23:00 |     3     1     1  60.0 |
|    SCRT/USDT |        14 |          -0.02 |          -0.34 |            -0.334 |          -0.03 |         5:38:00 |     7     5     2  50.0 |
|    IOST/USDT |         6 |          -0.09 |          -0.54 |            -0.540 |          -0.05 |         2:27:00 |     4     1     1  66.7 |
|    LINA/USDT |        58 |          -0.01 |          -0.74 |            -0.736 |          -0.07 |         2:13:00 |    39     8    11  67.2 |
|     DCR/USDT |        10 |          -0.08 |          -0.76 |            -0.764 |          -0.08 |         4:18:00 |     6     2     2  60.0 |
|     CVC/USDT |         3 |          -0.26 |          -0.77 |            -0.767 |          -0.08 | 2 days, 7:50:00 |     2     0     1  66.7 |
|     SOL/USDT |         9 |          -0.12 |          -1.04 |            -1.030 |          -0.10 |         3:08:00 |     5     3     1  55.6 |
|    DUSK/USDT |        18 |          -0.06 |          -1.05 |            -1.051 |          -0.10 |         3:10:00 |    12     3     3  66.7 |
|    KP3R/USDT |         5 |          -0.25 |          -1.27 |            -1.224 |          -0.12 |         1:56:00 |     3     1     1  60.0 |
|     APE/USDT |         7 |          -0.18 |          -1.29 |            -1.296 |          -0.13 |         8:35:00 |     3     3     1  42.9 |
|    ARKM/USDT |         4 |          -0.34 |          -1.37 |            -1.383 |          -0.14 |         3:01:00 |     3     0     1  75.0 |
|    KLAY/USDT |         6 |          -0.31 |          -1.84 |            -1.845 |          -0.18 |         2:39:00 |     3     2     1  50.0 |
|    AAVE/USDT |         5 |          -0.42 |          -2.11 |            -2.111 |          -0.21 |         5:38:00 |     3     1     1  60.0 |
|     RLC/USDT |        13 |          -0.17 |          -2.18 |            -2.195 |          -0.22 |         5:55:00 |     7     4     2  53.8 |
|     SNX/USDT |        15 |          -0.15 |          -2.25 |            -2.230 |          -0.22 |         3:19:00 |     8     4     3  53.3 |
|  BADGER/USDT |         9 |          -0.27 |          -2.42 |            -2.423 |          -0.24 |         2:32:00 |     6     1     2  66.7 |
|    PERP/USDT |        18 |          -0.16 |          -2.90 |            -2.899 |          -0.29 |         6:33:00 |    10     5     3  55.6 |
|    USTC/USDT |        13 |          -0.25 |          -3.26 |            -3.266 |          -0.32 |         9:44:00 |     6     5     2  46.2 |
|  PENDLE/USDT |         4 |          -0.82 |          -3.27 |            -3.271 |          -0.32 |         4:24:00 |     2     1     1  50.0 |
|    POLS/USDT |         5 |          -0.67 |          -3.33 |            -3.330 |          -0.33 |         3:28:00 |     2     2     1  40.0 |
|     BSW/USDT |         3 |          -1.15 |          -3.46 |            -3.465 |          -0.34 |         2:34:00 |     2     0     1  66.7 |
|  PEOPLE/USDT |         4 |          -0.94 |          -3.76 |            -3.763 |          -0.37 |         7:41:00 |     3     0     1  75.0 |
|     SSV/USDT |        10 |          -0.38 |          -3.79 |            -3.796 |          -0.38 |         4:10:00 |     5     3     2  50.0 |
|   SUSHI/USDT |         3 |          -1.27 |          -3.81 |            -3.813 |          -0.38 |         1:48:00 |     2     0     1  66.7 |
|    BAND/USDT |         7 |          -0.55 |          -3.88 |            -3.885 |          -0.38 |         0:54:00 |     5     0     2  71.4 |
|     ZIL/USDT |        10 |          -0.40 |          -4.05 |            -4.052 |          -0.40 |         3:00:00 |     6     2     2  60.0 |
|    PROM/USDT |         8 |          -0.52 |          -4.17 |            -4.173 |          -0.41 |         1:59:00 |     6     0     2  75.0 |
|    HARD/USDT |         8 |          -0.56 |          -4.52 |            -4.526 |          -0.45 |         6:42:00 |     5     1     2  62.5 |
|   WAVES/USDT |        25 |          -0.20 |          -5.02 |            -5.028 |          -0.50 |         2:35:00 |    17     3     5  68.0 |
|     LSK/USDT |         8 |          -0.63 |          -5.04 |            -5.038 |          -0.50 |         8:20:00 |     5     1     2  62.5 |
|     XTZ/USDT |         3 |          -1.71 |          -5.13 |            -5.132 |          -0.51 |         6:26:00 |     2     0     1  66.7 |
|     BLZ/USDT |        39 |          -0.13 |          -5.15 |            -5.150 |          -0.51 |         1:31:00 |    28     3     8  71.8 |
|     FXS/USDT |        11 |          -0.47 |          -5.17 |            -5.169 |          -0.51 |         1:38:00 |     8     0     3  72.7 |
|   STRAX/USDT |        13 |          -0.42 |          -5.49 |            -5.490 |          -0.54 |         2:57:00 |     8     2     3  61.5 |
|     PHB/USDT |        29 |          -0.20 |          -5.71 |            -5.616 |          -0.56 |         3:08:00 |    16     8     5  55.2 |
|     FIO/USDT |         6 |          -0.94 |          -5.63 |            -5.636 |          -0.56 |         5:14:00 |     2     3     1  33.3 |
|     BAT/USDT |         4 |          -1.47 |          -5.89 |            -5.880 |          -0.58 |        10:35:00 |     1     2     1  25.0 |
|     RSR/USDT |         4 |          -1.49 |          -5.96 |            -5.963 |          -0.59 |        15:20:00 |     1     2     1  25.0 |
|    LOKA/USDT |        30 |          -0.21 |          -6.26 |            -6.276 |          -0.62 |         2:09:00 |    21     3     6  70.0 |
|   THETA/USDT |         3 |          -2.10 |          -6.31 |            -6.308 |          -0.62 |        14:39:00 |     1     1     1  33.3 |
|    GALA/USDT |        21 |          -0.30 |          -6.33 |            -6.334 |          -0.63 |         3:26:00 |    12     5     4  57.1 |
|     ONG/USDT |        15 |          -0.43 |          -6.41 |            -6.429 |          -0.64 |         2:44:00 |    10     1     4  66.7 |
|     BEL/USDT |        22 |          -0.29 |          -6.46 |            -6.454 |          -0.64 |         3:26:00 |    15     2     5  68.2 |
|     VIB/USDT |        13 |          -0.52 |          -6.82 |            -6.819 |          -0.68 |         9:14:00 |     7     3     3  53.8 |
|    BETA/USDT |        15 |          -0.48 |          -7.19 |            -7.180 |          -0.71 |         1:21:00 |    11     0     4  73.3 |
|     KSM/USDT |         2 |          -3.59 |          -7.19 |            -7.192 |          -0.71 |         6:42:00 |     1     0     1  50.0 |
|   BNBUP/USDT |         1 |          -7.68 |          -7.68 |            -7.680 |          -0.76 |        22:40:00 |     0     0     1     0 |
|    EGLD/USDT |         2 |          -3.90 |          -7.79 |            -7.763 |          -0.77 |        17:10:00 |     0     1     1     0 |
|     GAL/USDT |        15 |          -0.52 |          -7.80 |            -7.807 |          -0.77 |         5:53:00 |    10     2     3  66.7 |
|    DREP/USDT |        30 |          -0.26 |          -7.86 |            -7.820 |          -0.77 |         7:17:00 |    18     6     6  60.0 |
|     ZRX/USDT |        14 |          -0.57 |          -7.92 |            -7.922 |          -0.78 |         3:20:00 |     8     3     3  57.1 |
|  ALPINE/USDT |        24 |          -0.33 |          -7.95 |            -7.955 |          -0.79 |         3:26:00 |    15     4     5  62.5 |
|     LTO/USDT |        11 |          -0.73 |          -8.03 |            -8.032 |          -0.80 |         2:15:00 |     8     0     3  72.7 |
|     EDU/USDT |        11 |          -0.77 |          -8.49 |            -8.370 |          -0.83 |         4:42:00 |     6     2     3  54.5 |
|    STPT/USDT |        14 |          -0.60 |          -8.46 |            -8.472 |          -0.84 |         7:01:00 |     8     3     3  57.1 |
|     RVN/USDT |         6 |          -1.47 |          -8.81 |            -8.819 |          -0.87 |         5:54:00 |     4     0     2  66.7 |
|     WTC/USDT |        19 |          -0.46 |          -8.82 |            -8.827 |          -0.87 |         1:52:00 |    14     0     5  73.7 |
|     OGN/USDT |        16 |          -0.56 |          -8.89 |            -8.881 |          -0.88 |         2:41:00 |    10     2     4  62.5 |
|   1INCH/USDT |         8 |          -1.13 |          -9.04 |            -9.044 |          -0.90 |         3:01:00 |     4     2     2  50.0 |
|     SNT/USDT |         6 |          -1.57 |          -9.40 |            -9.405 |          -0.93 |         2:51:00 |     3     1     2  50.0 |
|     AXS/USDT |         9 |          -1.05 |          -9.49 |            -9.492 |          -0.94 |         9:13:00 |     4     3     2  44.4 |
|     AST/USDT |         5 |          -1.91 |          -9.54 |            -9.549 |          -0.95 |         1:39:00 |     3     0     2  60.0 |
|     LRC/USDT |        12 |          -0.80 |          -9.63 |            -9.662 |          -0.96 |         5:25:00 |     6     3     3  50.0 |
|     FLM/USDT |        12 |          -0.83 |         -10.01 |           -10.013 |          -0.99 |         2:58:00 |     6     3     3  50.0 |
|     WIN/USDT |         5 |          -2.02 |         -10.08 |           -10.087 |          -1.00 |         9:49:00 |     3     0     2  60.0 |
|    LUNA/USDT |        10 |          -1.05 |         -10.50 |           -10.511 |          -1.04 |         2:04:00 |     6     1     3  60.0 |
|    LOOM/USDT |        11 |          -0.98 |         -10.79 |           -10.790 |          -1.07 |         1:33:00 |     6     2     3  54.5 |
|     ELF/USDT |         4 |          -2.72 |         -10.88 |           -10.894 |          -1.08 |        14:56:00 |     1     1     2  25.0 |
|     HOT/USDT |         4 |          -2.86 |         -11.43 |           -11.443 |          -1.13 |        22:46:00 |     1     1     2  25.0 |
|     PSG/USDT |        12 |          -0.96 |         -11.51 |           -11.512 |          -1.14 |         2:13:00 |     6     3     3  50.0 |
|     BNT/USDT |        12 |          -0.96 |         -11.54 |           -11.553 |          -1.14 |         2:58:00 |     5     4     3  41.7 |
|     XEM/USDT |         4 |          -2.91 |         -11.65 |           -11.658 |          -1.15 |         1:06:00 |     2     0     2  50.0 |
|   TFUEL/USDT |         6 |          -1.98 |         -11.90 |           -11.906 |          -1.18 |         4:38:00 |     2     2     2  33.3 |
|    OSMO/USDT |         4 |          -3.00 |         -11.98 |           -11.994 |          -1.19 |         3:00:00 |     2     0     2  50.0 |
|     UFT/USDT |         3 |          -4.06 |         -12.19 |           -12.184 |          -1.21 |  1 day, 8:33:00 |     1     0     2  33.3 |
| AUCTION/USDT |        35 |          -0.35 |         -12.41 |           -12.409 |          -1.23 |         2:31:00 |    24     3     8  68.6 |
|     LDO/USDT |        24 |          -0.54 |         -12.85 |           -12.858 |          -1.27 |         4:10:00 |    13     6     5  54.2 |
|    DENT/USDT |         3 |          -4.33 |         -13.00 |           -13.011 |          -1.29 |         3:44:00 |     1     0     2  33.3 |
|     SKL/USDT |        16 |          -0.84 |         -13.51 |           -13.523 |          -1.34 |         3:22:00 |    11     0     5  68.8 |
|     MDX/USDT |         9 |          -1.56 |         -14.07 |           -14.087 |          -1.39 |         4:24:00 |     4     2     3  44.4 |
|    DEXE/USDT |        12 |          -1.20 |         -14.44 |           -14.447 |          -1.43 |         8:08:00 |     6     2     4  50.0 |
|     LIT/USDT |        16 |          -0.92 |         -14.74 |           -14.739 |          -1.46 |         2:36:00 |     8     4     4  50.0 |
|    KAVA/USDT |         7 |          -2.15 |         -15.04 |           -15.051 |          -1.49 |         3:20:00 |     4     0     3  57.1 |
|     RAD/USDT |        46 |          -0.33 |         -15.09 |           -15.059 |          -1.49 |         1:24:00 |    29     8     9  63.0 |
|    CELR/USDT |        14 |          -1.10 |         -15.35 |           -15.364 |          -1.52 |         2:38:00 |     9     1     4  64.3 |
|     VGX/USDT |        67 |          -0.24 |         -15.88 |           -15.889 |          -1.57 |         3:30:00 |    50     5    12  74.6 |
|    POWR/USDT |        18 |          -0.91 |         -16.29 |           -16.296 |          -1.61 |         2:28:00 |    12     1     5  66.7 |
|     KNC/USDT |         9 |          -1.91 |         -17.22 |           -17.234 |          -1.71 |         8:49:00 |     4     2     3  44.4 |
|     MTL/USDT |        29 |          -0.60 |         -17.44 |           -17.446 |          -1.73 |         2:51:00 |    17     4     8  58.6 |
|     AMB/USDT |        21 |          -0.83 |         -17.44 |           -17.456 |          -1.73 |         1:49:00 |    14     2     5  66.7 |
|     XEC/USDT |        15 |          -1.18 |         -17.75 |           -17.767 |          -1.76 |         6:16:00 |    10     0     5  66.7 |
|    HIVE/USDT |        12 |          -1.55 |         -18.59 |           -18.585 |          -1.84 |         3:06:00 |     7     1     4  58.3 |
|     DAR/USDT |        15 |          -1.28 |         -19.22 |           -19.219 |          -1.90 |         5:39:00 |     9     1     5  60.0 |
|     JST/USDT |         6 |          -3.25 |         -19.48 |           -19.503 |          -1.93 |         7:08:00 |     2     1     3  33.3 |
|    ANKR/USDT |        13 |          -1.56 |         -20.34 |           -20.362 |          -2.02 |         1:36:00 |     8     0     5  61.5 |
|    CELO/USDT |        13 |          -1.58 |         -20.50 |           -20.512 |          -2.03 |         7:56:00 |     6     3     4  46.2 |
|   ALPHA/USDT |        18 |          -1.15 |         -20.68 |           -20.689 |          -2.05 |         7:20:00 |    10     3     5  55.6 |
|    CITY/USDT |        11 |          -1.91 |         -20.98 |           -20.997 |          -2.08 |         5:01:00 |     4     4     3  36.4 |
|     FOR/USDT |        10 |          -2.11 |         -21.06 |           -21.078 |          -2.09 |         2:32:00 |     5     1     4  50.0 |
|    COMP/USDT |        19 |          -1.15 |         -21.78 |           -21.794 |          -2.16 |         6:10:00 |     7     7     5  36.8 |
|     XRP/USDT |         5 |          -4.47 |         -22.36 |           -22.348 |          -2.21 |         7:00:00 |     2     0     3  40.0 |
|     ADX/USDT |        11 |          -2.06 |         -22.61 |           -22.607 |          -2.24 |         9:16:00 |     5     2     4  45.5 |
|     MBL/USDT |        13 |          -1.81 |         -23.50 |           -23.520 |          -2.33 |         4:15:00 |     8     0     5  61.5 |
|     GTC/USDT |         8 |          -2.98 |         -23.83 |           -23.827 |          -2.36 |         5:12:00 |     3     1     4  37.5 |
|    UNFI/USDT |        19 |          -1.30 |         -24.72 |           -24.691 |          -2.44 |         4:28:00 |    10     3     6  52.6 |
|     PLA/USDT |        18 |          -1.67 |         -30.15 |           -30.177 |          -2.99 |         4:35:00 |    11     1     6  61.1 |
|   LEVER/USDT |        21 |          -1.52 |         -31.87 |           -31.898 |          -3.16 |         4:47:00 |    11     3     7  52.4 |
|     NKN/USDT |         9 |          -3.96 |         -35.62 |           -35.640 |          -3.53 |         5:01:00 |     2     2     5  22.2 |
|    GHST/USDT |        14 |          -2.66 |         -37.19 |           -37.207 |          -3.68 |         4:18:00 |     5     3     6  35.7 |
|        TOTAL |      5439 |           0.46 |        2499.01 |          2501.554 |         247.68 |         2:44:00 |  3925   738   776  72.2 |
========================================================= LEFT OPEN TRADES REPORT =========================================================
|      Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-----------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
| UNFI/USDT |         1 |          -4.67 |          -4.67 |            -4.670 |          -0.46 |        4:40:00 |     0     0     1     0 |
|  AMP/USDT |         1 |          -6.06 |          -6.06 |            -6.062 |          -0.60 |        5:30:00 |     0     0     1     0 |
|     TOTAL |         2 |          -5.36 |         -10.73 |           -10.733 |          -1.06 |        5:05:00 |     0     0     2     0 |
=========================================================== ENTER TAG STATS ============================================================
|    TAG |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|--------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|   ewo1 |      4826 |           0.44 |        2144.48 |          2147.038 |         212.58 |        2:49:00 |  3450   673   703  71.5 |
| ewolow |       613 |           0.58 |         354.52 |           354.516 |          35.10 |        2:04:00 |   475    65    73  77.5 |
|  TOTAL |      5439 |           0.46 |        2499.01 |          2501.554 |         247.68 |        2:44:00 |  3925   738   776  72.2 |
======================================================= EXIT REASON STATS ========================================================
|        Exit Reason |   Exits |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|--------------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
| trailing_stop_loss |    3817 |   3817     0     0   100 |           2.26 |        8637.13 |          8636.43  |         863.71 |
|                roi |     846 |    108   738     0   100 |           0.07 |          59.51 |            59.525 |           5.95 |
|          stop_loss |     774 |      0     0   774     0 |          -7.99 |       -6186.91 |         -6183.67  |        -618.69 |
|         force_exit |       2 |      0     0     2     0 |          -5.36 |         -10.73 |           -10.733 |          -1.07 |
======================= MONTH BREAKDOWN ========================
|      Month |   Tot Profit USDT |   Wins |   Draws |   Losses |
|------------+-------------------+--------+---------+----------|
| 31/01/2023 |           283.067 |    582 |     146 |      122 |
| 28/02/2023 |           514.071 |    806 |     156 |      164 |
| 31/03/2023 |           536.575 |    563 |     101 |       85 |
| 30/04/2023 |           198.843 |    410 |      74 |       86 |
| 31/05/2023 |           186.758 |    293 |      52 |       58 |
| 30/06/2023 |           186.204 |    371 |      79 |       79 |
| 31/07/2023 |           316.507 |    509 |      78 |      107 |
| 31/08/2023 |           290.26  |    391 |      52 |       73 |
| 30/09/2023 |           -10.733 |      0 |       0 |        2 |
================== SUMMARY METRICS ==================
| Metric                      | Value               |
|-----------------------------+---------------------|
| Backtesting from            | 2023-01-01 00:00:00 |
| Backtesting to              | 2023-09-01 00:00:00 |
| Max open trades             | 10                  |
|                             |                     |
| Total/Daily Avg Trades      | 5439 / 22.38        |
| Starting balance            | 1010 USDT           |
| Final balance               | 3511.554 USDT       |
| Absolute profit             | 2501.554 USDT       |
| Total profit %              | 247.68%             |
| CAGR %                      | 549.95%             |
| Sortino                     | 168.94              |
| Sharpe                      | 54.06               |
| Calmar                      | 261.28              |
| Profit factor               | 1.40                |
| Expectancy (Ratio)          | 0.46 (-0.08)        |
| Trades per day              | 22.38               |
| Avg. daily profit %         | 1.02%               |
| Avg. stake amount           | 99.87 USDT          |
| Total trade volume          | 543190.214 USDT     |
|                             |                     |
| Best Pair                   | RIF/USDT 99.07%     |
| Worst Pair                  | GHST/USDT -37.19%   |
| Best trade                  | AGLD/USDT 27.50%    |
| Worst trade                 | VGX/USDT -28.90%    |
| Best day                    | 111.261 USDT        |
| Worst day                   | -73.034 USDT        |
| Days win/draw/lose          | 179 / 0 / 65        |
| Avg. Duration Winners       | 0:47:00             |
| Avg. Duration Loser         | 7:34:00             |
| Max Consecutive Wins / Loss | 27 / 8              |
| Rejected Entry signals      | 6917                |
| Entry/Exit Timeouts         | 0 / 0               |
|                             |                     |
| Min balance                 | 1010 USDT           |
| Max balance                 | 3535.022 USDT       |
| Max % of account underwater | 8.34%               |
| Absolute Drawdown (Account) | 7.45%               |
| Absolute Drawdown           | 114.937 USDT        |
| Drawdown high               | 532.215 USDT        |
| Drawdown low                | 417.277 USDT        |
| Drawdown Start              | 2023-02-08 13:45:00 |
| Drawdown End                | 2023-02-10 18:53:00 |
| Market change               | 0.60%               |
=====================================================

Backtested 2023-01-01 00:00:00 -> 2023-09-01 00:00:00 | Max open trades : 10
======================================================================== STRATEGY SUMMARY ========================================================================
|   Strategy |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |            Drawdown |
|------------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------+---------------------|
|     abbas8 |      5439 |           0.46 |        2499.01 |          2501.554 |         247.68 |        2:44:00 |  3925   738   776  72.2 | 114.937 USDT  7.45% |
==================================================================================================================================================================
